candidato,word
pinera,ley
pinera,joven
pinera,edad
pinera,sistema
pinera,capacitación
pinera,ampliación
pinera,bono
pinera,mujer
pinera,ºtrabajo
pinera,familia
pinera,ley
pinera,fa
pinera,milia
pinera,compatibilizar
pinera,vida
pinera,familiar
pinera,vida
pinera,laboral
pinera,incluirá
pinera,mecanismos
pinera,adaptabilidad
pinera,esquemas
pinera,jornadas
pinera,flexibles
pinera,favorables
pinera,convivencia
pinera,familiar
pinera,descanso
pinera,extensión
pinera,gradual
pinera,15
pinera,20
pinera,vacaciones
pinera,cambio
pinera,reducción
pinera,feriados
pinera,ºresponsabilidad
pinera,fiscal
pinera,ºreforma
pinera,constitución
pinera,consagrar
pinera,principio
pinera,responsabilidad
pinera,fiscal
pinera,plan
pinera,austeridad
pinera,fiscal
pinera,congelamiento
pinera,contrataciones
pinera,administración
pinera,pública
pinera,gastos
pinera,viáticos
pinera,extras
pinera,sueldos
pinera,asesores
pinera,ministeriales
pinera,reducción
pinera,10
pinera,gasto
pinera,asesores
pinera,honorarios
pinera,renovaciones
pinera,innecesarias
pinera,vehículos
pinera,equipos
pinera,regulación
pinera,estricta
pinera,viajes
pinera,funcionarios
pinera,públicos
pinera,municipales
pinera,extranjero
pinera,b.caminemos
pinera,juntos
pinera,chile
pinera,justo
pinera,solidario
pinera,salud
pinera,ºrevitalización
pinera,programa
pinera,elige
pinera,vivir
pinera,sano
pinera,mejorar
pinera,hábitos
pinera,materia
pinera,alimentación
pinera,ejercicios
pinera,contacto
pinera,reforma
pinera,integral
pinera,salud
pinera,primaria
pinera,naturaleza
pinera,vida
pinera,familia
pinera,forma
pinera,crear
pinera,cultura
pinera,vida
pinera,sana
pinera,sistema
pinera,oportuno
pinera,eficaz
pinera,prevención
pinera,ºcreación
pinera,red
pinera,consultorios
pinera,centros
pinera,salud
pinera,familiar
pinera,enfermedades
pinera,cromcas
pinera,abetes
pinera,perten5
pinera,on
pinera,excelencia
pinera,modelo
pinera,ancora
pinera,uc
pinera,enfermedades
pinera,cardiovasculares
pinera,ºficha
pinera,médica
pinera,única
pinera,electrónica
pinera,sistema
pinera,interoperable
pinera,integrado
pinera,ºreduccuon
pinera,prec
pinera,med
pinera,camentos
pinera,traves
pinera,med
pinera,das
pinera,creación
pinera,portal
pinera,ciudadano
pinera,salud
pinera,agendamiento
pinera,ncrementen
pinera,competencia
pinera,laboratonos
pinera,yseguimiento
pinera,solicitud
pinera,consulta
pinera,línea
pinera,datos
pinera,farmac
pinera,as_
pinera,transparenc
pinera,mercado
pinera,traves
pinera,clínicos
pinera,exámenes
pinera,interconsulta
pinera,centros
pinera,vía
pinera,portal
pinera,d_e
pinera,prec
pinera,med_
pinera,camen_tos
pinera,y_mayor
pinera,electrónica
pinera,programa
pinera,transformación
pinera,médicos
pinera,generales
pinera,med
pinera,camentos
pinera,genencos
pinera,oequwalentes
pinera,especialistas
pinera,atención
pinera,primaria
pinera,modelo
pinera,atención
pinera,pac
pinera,entes
pinera,cromcos
pinera,telemed
pinera,cma
pinera,enfermedades
pinera,mentales
pinera,pensiones
pinera,envejecimiento
pinera,positivo
pinera,º
pinera,orma
pinera,ema
pinera,ens
pinera,ones
pinera,ara
pinera,ue
pinera,mn
pinera,ens
pinera,ona
pinera,ºat
pinera,rt
pinera,rf
pinera,l't
pinera,dp
pinera,pq
pinera,g'p'd
pinera,enc
pinera,on
pinera,na
pinera,quede
pinera,línea
pinera,pobreza
pinera,plan
pinera,incrementar
pinera,pensiones
pinera,forma
pinera,gradual
pinera,plazo
pinera,años
pinera,ºnuevo
pinera,seguro
pinera,soc
pinera,salud
pinera,plan
pinera,base
pinera,º
pinera,º
pinera,º
pinera,40a
pinera,aumento
pinera,tasa
pinera,cot
pinera,zac
pinera,on
pinera,10
pinera,14a
pinera,cargo
pinera,ch
pinera,lenos
pinera,mdepend
pinera,ente
pinera,stema
pinera,prev
pinera,onal
pinera,ley
pinera,empleador
pinera,depos
pinera,tado
pinera,mtegramente
pinera,md
pinera,dual
pinera,isapres
pinera,ampl
pinera,ac
pinera,on
pinera,bre
pinera,elecc
pinera,on
pinera,fonasa
pinera,trabajadores
pinera,heredable
pinera,trabajadores
pinera,mantendran
pinera,derecho
pinera,elegir
pinera,institución
pinera,administre
pinera,ahorro
pinera,ºtermmo
pinera,stas
pinera,espera
pinera,med
pinera,stema
pinera,cltacmn
pinera,º
pinera,prev
pinera,onal
pinera,aumento
pinera,40a
pinera,recursos
pinera,stema
pinera,ab
pinera,erta
pinera,resoluc
pinera,on
pinera,stas
pinera,espera
pinera,horar
pinera,pens
pinera,ones
pinera,sol
pinera,danas
pinera,sub
pinera,pens
pinera,ones
pinera,bas
pinera,cas
pinera,atenc
pinera,on
pinera,smos
pinera,establec
pinera,entos
pinera,plataforma
pinera,aporte
pinera,prev
pinera,onal
pinera,sol
pinera,dano
pinera,extender
pinera,ult
pinera,mo
pinera,ala
pinera,clase
pinera,umca
pinera,georreferenc
pinera,ada
pinera,concentrar
pinera,resoluc
pinera,on
pinera,med
pinera,ncent
pinera,vos
pinera,extender
pinera,voluntanamente
pinera,laboral
pinera,as
pinera,yseguro
pinera,longevidad
pinera,reforma
pinera,industria
pinera,afp
pinera,incrementar
pinera,competencia
pinera,transparencia
pinera,participación
pinera,afiliados
pinera,ºcreac
pinera,on
pinera,serv
pinera,nac
pinera,onal
pinera,urgenc
pinera,call
pinera,center
pinera,salud
pinera,res
pinera,onde
pinera,24x7
pinera,dec
pinera,ones
pinera,reduc
pinera,com
pinera,ones
pinera,mejorar
pinera,rentab
pinera,dades
pinera,fondos
pinera,ley
pinera,envejecimiento
pinera,positivo
pinera,programa
pinera,elige
pinera,vivir
pinera,sano
pinera,personas
pinera,mayores
pinera,política
pinera,apoyo
pinera,directo
pinera,adulto
pinera,fortalecimiento
pinera,rol
pinera,familias
pinera,centros
pinera,larga
pinera,estadía
pinera,red
pinera,centros
pinera,diurnos
pinera,cuidadores
pinera,domiciliarios
pinera,ciudades
pinera,amigables
pinera,inclusivas
pinera,acceso
pinera,sence
pinera,personas
pinera,mayores
pinera,0nueva
pinera,cobertura
pinera,ges
pinera,personas
pinera,mayores
pinera,incorporación
pinera,plan
pinera,auge
pinera,garantía
pinera,especial
pinera,personas
pinera,mayores
pinera,atención
pinera,salud
pinera,dental
pinera,mental
pinera,kinesiológica
pinera,enfermedades
pinera,crónicas
pinera,acceso
pinera,medicamentos
pinera,sociedad
pinera,queda
pinera,atrás
pinera,0nuevo
pinera,sistema
pinera,protección
pinera,infancia
pinera,ºreforma
pinera,integral
pinera,sistema
pinera,protección
pinera,infancia
pinera,servicio
pinera,nacional
pinera,infancia
pinera,servicio
pinera,responsabilidad
pinera,adolescente
pinera,modelo
pinera,continuo
pinera,gestión
pinera,atención
pinera,intervención
pinera,incluyendo
pinera,sistema
pinera,monitoreo
pinera,línea
pinera,infancia
pinera,vulnerable
pinera,mecanismos
pinera,alerta
pinera,temprana
pinera,deserción
pinera,escolar
pinera,registro
pinera,único
pinera,información
pinera,sename
pinera,municipios
pinera,sostenedores
pinera,educacionales
pinera,pdi
pinera,tribunales
pinera,carabineros
pinera,salud
pinera,chile
pinera,crece
pinera,ºreforma
pinera,ley
pinera,adopciones
pinera,reafirmar
pinera,criterio
pinera,orientador
pinera,basado
pinera,interés
pinera,superior
pinera,niños
pinera,agilización
pinera,trámites
pinera,adopción
pinera,reducir
pinera,tiempos
pinera,espera
pinera,facilitar
pinera,procesos
pinera,iii.principales
pinera,acciones
pinera,iniciativas
pinera,proyectos
pinera,ºplan
pinera,nacional
pinera,superación
pinera,pobreza
pinera,ºlngreso
pinera,etico
pinera,familiar
pinera,2.0
pinera,ampliación
pinera,cobertura
pinera,fortalecimiento
pinera,pilar
pinera,educación
pinera,extendiendo
pinera,ámbito
pinera,acción
pinera,áreas
pinera,ampliación
pinera,bono
pinera,formalización
pinera,laboral
pinera,bono
pinera,mujer
pinera,subsidio
pinera,adultos
pinera,mayores
pinera,incluyendo
pinera,hombres
pinera,cuyo
pinera,ingreso
pinera,menor
pinera,establecido
pinera,programa
pinera,rediseño
pinera,subsidio
pinera,joven
pinera,ºerradicación
pinera,campamentos
pinera,2026
pinera,plan
pinera,apoyo
pinera,personas
pinera,situación
pinera,calle
pinera,programa
pinera,especial
pinera,lograr
pinera,darle
pinera,solución
pinera,digna
pinera,definitiva
pinera,38.000
pinera,familias
pinera,viven
pinera,campamen
pinera,tos
pinera,asentamientos
pinera,irregulares
pinera,país
pinera,fortalecimiento
pinera,programa
pinera,noche
pinera,digna
pinera,ºplataforma
pinera,datos
pinera,programas
pinera,sociales
pinera,fortalecer
pinera,seguimiento
pinera,evaluación
pinera,políticas
pinera,sociales
pinera,ºapp
pinera,social
pinera,aplicación
pinera,teléfonos
pinera,móviles
pinera,permita
pinera,hogar
pinera,beneficios
pinera,recibe
pinera,programas
pinera,acceso
pinera,ºcuenta
pinera,rut
pinera,social
pinera,plataforma
pinera,única
pinera,pago
pinera,beneficios
pinera,sociales
pinera,entregados
pinera,sistematice
pinera,aportes
pinera,transferencias
pinera,reciben
pinera,personas
pinera,ºred
pinera,clase
pinera,media
pinera,tranquila
pinera,esquema
pinera,seguros
pinera,sociales
pinera,proteger
pinera,familias
pinera,chilenas
pinera,eventos
pinera,vulnerabilidades
pinera,relevantes
pinera,vida
pinera,desempleo
pinera,enfermedades
pinera,graves
pinera,acceso
pinera,medicamentos
pinera,longevidad
pinera,cuarta
pinera,edad
pinera,vivienda
pinera,catástrofes
pinera,naturales
pinera,acceso
pinera,educación
pinera,superior
pinera,c.vivamos
pinera,tranquilos
pinera,chile
pinera,unido
pinera,paz
pinera,chile
pinera,seguro
pinera,política
pinera,prevención
pinera,delito
pinera,modernización
pinera,fortalecimiento
pinera,carabineros
pinera,chile
pinera,pdi
pinera,ºmodernización
pinera,administrativa
pinera,sistema
pinera,controles
pinera,internos
pinera,reorganización
pinera,gestión
pinera,financiera
pinera,procedimientos
pinera,protocolos
pinera,ajusten
pinera,parámetros
pinera,modernos
pinera,gestión
pinera,complementario
pinera,control
pinera,externo
pinera,contraloría
pinera,república
pinera,definición
pinera,presupuestaria
pinera,objetivos
pinera,estratégicos
pinera,auditorías
pinera,externas
pinera,asociados
pinera,asignación
pinera,recursos
pinera,reforma
pinera,sistemas
pinera,ingreso
pinera,evaluación
pinera,promoción
pinera,vincular
pinera,carrera
pinera,objetivos
pinera,estratégicos
pinera,institucionales
pinera,ºmodernización
pinera,operativa
pinera,redefinición
pinera,facultades
pinera,atribuciones
pinera,rediseño
pinera,estructuras
pinera,formación
pinera,funciones
pinera,operativas
pinera,carrera
pinera,funcionaria
pinera,incorpora
pinera,ción
pinera,masiva
pinera,tecnologías
pinera,énfasis
pinera,labores
pinera,preventivas
pinera,administrativas
pinera,especialización
pinera,policías
pinera,creación
pinera,unidades
pinera,mixtas
pinera,delitos
pinera,graves
pinera,terrorismo
pinera,crimen
pinera,organizado
pinera,narcotráfico
pinera,mando
pinera,centralizado
pinera,énfasis
pinera,detención
pinera,delincuentes
pinera,reincidentes
pinera,peligrosos
pinera,ley
pinera,institucionalizar
pinera,sistema
pinera,inteligencia
pinera,prevención
pinera,delito
pinera,metas
pinera,específicas
pinera,reducción
pinera,delitos
pinera,stad
pinera,2.0
pinera,i.de
pinera,democracia
