candidate,word,n,tf,idf,tf_idf
guillier,guiller,51,0.009590071455434375,2.0794415416798357,0.019941992972108243
artes,patri,8,0.01188707280832095,1.3862943611198906,0.016478982004396917
guillier,alejandro,53,0.00996615268898082,1.3862943611198906,0.013816021274793944
pinera,on,18,0.006355932203389831,2.0794415416798357,0.013216789459829466
artes,upa,4,0.005943536404160475,2.0794415416798357,0.012359236503297686
pinera,i,16,0.005649717514124294,2.0794415416798357,0.01174825729762619
artes,brichetti,3,0.004457652303120356,2.0794415416798357,0.009269427377473265
artes,recreaci,4,0.005943536404160475,1.3862943611198906,0.008239491002198458
kast,ci,62,0.006526315789473684,0.9808292530117262,0.006401201440708108
pinera,e,13,0.004590395480225989,1.3862943611198906,0.006363639369547521
artes,etc,6,0.008915304606240713,0.6931471805599453,0.006179618251648843
artes,eduardo,3,0.004457652303120356,1.3862943611198906,0.006179618251648843
artes,creara,2,0.0029717682020802376,2.0794415416798357,0.006179618251648843
artes,escalaf,2,0.0029717682020802376,2.0794415416798357,0.006179618251648843
artes,industrializaci,2,0.0029717682020802376,2.0794415416798357,0.006179618251648843
artes,odiosa,2,0.0029717682020802376,2.0794415416798357,0.006179618251648843
artes,pasaran,2,0.0029717682020802376,2.0794415416798357,0.006179618251648843
pinera,y,8,0.002824858757062147,2.0794415416798357,0.005874128648813095
artes,uni,4,0.005943536404160475,0.9808292530117262,0.00582959437154072
sanchez,amplio,36,0.007506255212677231,0.6931471805599453,0.005202939637230615
pinera,u,7,0.0024717514124293787,2.0794415416798357,0.005139862567711459
pinera,med,6,0.00211864406779661,2.0794415416798357,0.004405596486609821
artes,desarrollaremos,3,0.004457652303120356,0.9808292530117262,0.00437219577865554
artes,realizaci,3,0.004457652303120356,0.9808292530117262,0.00437219577865554
artes,ascenso,2,0.0029717682020802376,1.3862943611198906,0.004119745501099229
artes,canales,2,0.0029717682020802376,1.3862943611198906,0.004119745501099229
artes,capitales,2,0.0029717682020802376,1.3862943611198906,0.004119745501099229
artes,partido,2,0.0029717682020802376,1.3862943611198906,0.004119745501099229
sanchez,propuestas,42,0.008757297748123435,0.47000362924573563,0.0041159617240035225
sanchez,beatriz,9,0.0018765638031693077,2.0794415416798357,0.003902204727922961
sanchez,participantes,9,0.0018765638031693077,2.0794415416798357,0.003902204727922961
kast,in,26,0.0027368421052631577,1.3862943611198906,0.0037940687778018054
kast,ciones,17,0.0017894736842105263,2.0794415416798357,0.0037211059166902326
kast,nes,17,0.0017894736842105263,2.0794415416798357,0.0037211059166902326
pinera,onal,5,0.0017655367231638418,2.0794415416798357,0.0036713304055081847
pinera,ones,5,0.0017655367231638418,2.0794415416798357,0.0036713304055081847
pinera,x,5,0.0017655367231638418,2.0794415416798357,0.0036713304055081847
enriquez,debiese,10,0.0015098897780462027,2.0794415416798357,0.003139727527827021
enriquez,libro,10,0.0015098897780462027,2.0794415416798357,0.003139727527827021
artes,organizada,3,0.004457652303120356,0.6931471805599453,0.0030898091258244214
artes,acabar,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,actuaran,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,administradores,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,aimara,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,ajena,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,ascender,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,asegurado,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,asegurados,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
artes,asesinato,1,0.0014858841010401188,2.0794415416798357,0.0030898091258244214
